contract_id,c19_getting_needed_care,c20_getting_care_quickly,c21_customer_service,c22_rating_health_quality,c23_rating_health_plan,c24_care_coordination
H0028,3,4,4,3,4,3
H0034,1,3,1,Not enough data available,1,Not enough data available
H0074,4,4,4,Not enough data available,2,Not enough data available
H0104,5,5,5,4,5,3
H0107,3,3,3,3,3,3
H0111,3,4,3,3,2,3
H0154,5,5,5,5,5,3
H0169,3,4,3,3,4,3
H0174,3,3,4,5,3,4
H0251,5,4,4,5,5,3
H0270,5,Not enough data available,Not enough data available,4,3,Not enough data available
H0292,5,5,4,5,5,5
H0294,3,3,2,3,2,3
H0302,2,2,4,3,3,2
H0321,3,Not enough data available,3,Not enough data available,4,Not enough data available
H0332,2,1,5,5,5,4
H0351,3,2,3,1,1,Not enough data available
H0354,3,4,3,3,4,2
H0421,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0423,2,Not enough data available,2,Not enough data available,2,Not enough data available
H0432,5,5,4,4,4,3
H0439,5,5,3,4,4,5
H0473,5,4,3,5,4,4
H0504,2,1,3,3,4,1
H0523,1,3,Not enough data available,1,1,Not enough data available
H0524,2,2,5,3,4,2
H0543,1,1,3,3,3,1
H0544,1,1,1,Not enough data available,2,Not enough data available
H0562,2,1,2,2,2,2
H0571,1,1,1,1,2,1
H0609,3,3,3,4,4,3
H0624,2,1,Not enough data available,Not enough data available,2,Not enough data available
H0628,4,3,5,5,5,3
H0630,1,1,5,4,5,4
H0672,2,3,1,1,1,1
H0710,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured
H0712,3,4,3,3,2,3
H0724,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured
H0755,3,4,3,4,3,4
H0845,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0885,3,4,3,4,4,3
H0907,5,5,3,4,3,5
H0908,3,Not enough data available,3,4,2,Not enough data available
H0913,2,Not enough data available,2,Not enough data available,1,Not enough data available
H0976,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0978,1,1,2,1,4,1
H0982,5,5,5,5,5,5
H1016,3,4,5,4,4,5
H1019,3,4,4,5,5,3
H1032,4,4,4,Not enough data available,2,Not enough data available
H1035,3,4,3,4,4,3
H1036,3,4,3,4,5,3
H1045,5,5,3,4,4,4
H1099,4,4,5,5,4,4
H1109,4,4,4,3,4,3
H1112,3,4,3,3,2,3
H1119,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured
H1170,3,3,3,5,4,3
H1189,5,5,4,5,4,5
H1206,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1215,5,3,4,4,2,4
H1224,2,1,1,3,3,1
H1225,2,1,3,3,2,3
H1230,3,2,4,4,4,2
H1248,5,5,5,5,5,5
H1278,3,4,3,4,3,3
H1285,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1290,3,4,5,3,5,4
H1304,4,4,4,3,2,3
H1339,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1350,3,2,3,3,3,4
H1360,2,3,1,3,4,3
H1365,3,4,5,3,4,3
H1395,4,4,3,3,1,4
H1416,5,5,4,4,2,4
H1423,3,2,2,1,1,1
H1463,3,4,5,4,4,4
H1468,3,4,4,4,4,5
H1526,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1537,4,4,4,5,5,4
H1607,3,4,3,3,2,4
H1608,5,4,3,4,4,4
H1609,4,3,3,4,4,4
H1610,3,3,3,4,4,3
H1619,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1644,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured
H1659,4,4,4,3,4,4
H1664,3,3,4,4,3,Not enough data available
H1666,3,3,2,3,2,3
H1692,5,5,5,4,5,5
H1722,3,2,3,3,2,Not enough data available
H1774,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured
H1799,4,4,4,4,4,5
H1822,1,Not enough data available,2,Not enough data available,1,Not enough data available
H1846,5,5,4,4,4,4
H1862,3,2,Not enough data available,3,1,3
H1889,4,4,3,4,5,3
H1894,Not enough data available,Not enough data available,Not enough data available,Not enough data available,1,Not enough data available
H1914,4,4,1,Not enough data available,1,Not enough data available
H1947,4,4,3,5,4,4
H1951,5,4,4,5,5,5
H1961,5,4,5,5,5,5
H1969,5,5,5,4,2,5
H1993,5,Not enough data available,5,3,4,5
H1994,4,5,3,4,4,4
H1997,1,1,5,2,1,4
H2001,3,4,4,4,4,3
H2032,5,5,4,5,4,5
H2041,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2056,2,1,2,3,3,3
H2096,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2108,4,3,3,1,1,2
H2117,3,3,3,3,1,Not enough data available
H2128,4,3,4,Not enough data available,2,Not enough data available
H2162,3,Not enough data available,3,3,1,Not enough data available
H2168,2,3,1,2,2,3
H2172,2,2,3,4,4,3
H2174,1,Not enough data available,1,Not enough data available,1,Not enough data available
H2224,2,3,1,2,3,3
H2225,3,3,4,4,5,2
H2226,2,1,2,3,4,3
H2230,2,2,4,2,3,2
H2235,5,4,4,5,5,5
H2237,3,3,3,3,4,3
H2246,5,4,4,4,4,4
H2247,3,2,3,3,4,3
H2256,3,3,4,5,5,4
H2261,3,3,5,2,2,3
H2292,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured
H2293,3,4,3,4,4,3
H2320,3,4,5,4,4,5
H2322,3,4,4,3,3,3
H2354,3,3,4,3,4,4
H2392,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured
H2400,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured
H2406,3,3,3,3,4,3
H2416,4,4,4,3,4,4
H2419,3,2,4,3,2,3
H2422,3,2,3,4,4,4
H2425,3,3,3,4,4,3
H2441,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2445,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2450,5,5,4,4,3,5
H2456,2,3,3,4,3,4
H2458,2,2,3,2,3,3
H2459,3,3,4,4,5,5
H2461,3,3,4,4,5,5
H2463,3,Not enough data available,3,4,3,Not enough data available
H2486,2,4,3,3,3,4
H2491,1,3,3,2,2,Not enough data available
H2526,5,4,5,5,5,4
H2563,3,3,3,3,3,3
H2582,3,4,3,4,1,3
H2593,Not enough data available,Not enough data available,Not enough data available,Not enough data available,2,Not enough data available
H2610,5,5,5,5,5,5
H2624,5,5,5,4,5,5
H2663,4,4,3,5,5,4
H2686,2,1,3,3,4,3
H2697,3,3,5,5,5,3
H2722,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured
H2737,2,1,5,2,3,3
H2775,3,3,3,2,1,Not enough data available
H2802,5,4,3,3,4,4
H2816,4,4,4,4,2,3
H2819,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2836,4,3,Not enough data available,2,1,Not enough data available
H2875,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2915,3,4,3,3,2,5
H2942,4,3,4,4,3,4
H2960,4,4,4,4,3,5
H2962,3,4,4,3,5,2
H3015,3,4,3,Not enough data available,4,3
H3038,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3047,4,4,3,3,2,4
H3048,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3071,3,Not enough data available,2,Not enough data available,2,Not enough data available
H3080,3,2,5,3,4,1
H3113,1,3,2,Not enough data available,4,Not enough data available
H3124,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3138,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3146,3,4,4,3,5,5
H3152,3,4,4,4,5,4
H3170,5,5,Not enough data available,4,2,4
H3192,4,4,4,3,4,4
H3204,1,2,4,3,3,3
H3219,3,3,3,4,4,4
H3239,5,4,5,4,5,3
H3240,4,3,1,3,3,3
H3251,1,1,3,1,2,Not enough data available
H3256,5,5,5,4,5,3
H3259,5,5,5,5,5,4
H3276,3,Not enough data available,Not enough data available,Not enough data available,3,Not enough data available
H3288,4,4,4,4,3,4
H3305,4,5,5,4,5,4
H3307,2,Not enough data available,Not enough data available,Not enough data available,1,Not enough data available
H3312,3,4,3,4,4,4
H3330,3,1,3,2,2,2
H3335,4,5,4,3,3,3
H3344,5,5,5,5,5,4
H3347,4,3,3,5,5,4
H3351,4,3,3,4,5,4
H3359,3,Not enough data available,3,Not enough data available,4,3
H3362,5,5,5,5,5,3
H3379,3,4,3,3,2,4
H3384,5,5,3,4,2,3
H3387,3,2,3,2,3,3
H3388,5,5,5,5,5,4
H3404,4,5,5,5,5,5
H3418,1,2,Not enough data available,1,1,Not enough data available
H3443,1,2,3,3,3,1
H3447,4,4,3,3,2,5
H3449,5,4,5,4,4,5
H3499,4,5,3,4,4,4
H3528,3,3,3,3,2,3
H3533,3,2,2,3,2,4
H3536,3,4,2,2,1,3
H3551,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3554,4,4,3,4,2,4
H3557,4,4,5,4,5,4
H3561,1,Not enough data available,1,Not enough data available,1,Not enough data available
H3597,3,4,3,4,4,5
H3653,5,4,5,5,5,5
H3655,4,4,3,4,4,4
H3660,5,5,5,5,5,5
H3664,5,5,5,5,5,5
H3668,5,5,5,4,5,3
H3672,5,5,5,5,5,5
