contract_id,hd1_staying_healthy,hd2_chronic_conditions,hd3_member_experience,hd4_complaints,hd5_customer_service
H0028,3,4,4,3,4
H0034,2,3,2,4,3
H0074,2,2,4,3,Not enough data available
H0104,4,3,5,5,4
H0107,4,3,3,5,5
H0111,3,3,3,3,3
H0154,3,4,5,4,3
H0169,3,4,3,3,4
H0174,3,3,4,3,3
H0251,2,3,4,5,4
H0270,2,3,Not enough data available,3,Not enough data available
H0292,4,4,5,4,5
H0294,3,3,3,4,4
H0302,4,4,3,4,3
H0321,3,3,Not enough data available,4,4
H0332,4,4,4,4,5
H0351,2,3,2,4,4
H0354,4,4,3,3,4
H0421,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0423,4,4,Not enough data available,3,3
H0432,3,3,4,3,4
H0439,4,3,4,3,4
H0473,3,3,4,4,4
H0504,4,3,2,4,4
H0523,3,3,2,3,4
H0524,5,4,3,5,4
H0543,4,3,2,3,5
H0544,3,3,1,3,4
H0562,4,3,2,4,4
H0571,4,3,1,4,Not enough data available
H0609,5,4,3,5,4
H0624,3,4,Not enough data available,3,4
H0628,3,3,4,4,4
H0630,5,4,3,4,4
H0672,3,3,2,2,4
H0710,Not enough data available,4,Not enough data available,4,4
H0712,4,3,3,4,4
H0724,Not enough data available,2,Not enough data available,4,Not enough data available
H0755,4,3,4,4,4
H0845,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0885,4,3,4,4,4
H0907,2,3,4,3,Not enough data available
H0908,1,3,3,3,5
H0913,3,3,Not enough data available,3,3
H0976,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0978,3,4,2,4,Not enough data available
H0982,3,3,5,3,Not enough data available
H1016,5,4,4,4,4
H1019,4,4,4,3,5
H1032,3,3,4,4,3
H1035,4,3,4,4,4
H1036,4,4,4,3,4
H1045,4,4,4,4,4
H1099,3,4,4,5,4
H1109,4,4,4,4,5
H1112,3,3,3,3,3
H1119,Not enough data available,4,Not enough data available,5,Not enough data available
H1170,5,4,4,5,5
H1189,3,2,5,4,3
H1206,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1215,2,3,4,3,Not enough data available
H1224,3,3,2,3,4
H1225,4,3,2,4,3
H1230,5,4,3,5,Not enough data available
H1248,4,3,5,5,4
H1278,4,3,3,4,5
H1285,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1290,4,4,4,3,5
H1304,3,3,3,4,4
H1339,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1350,3,3,3,4,4
H1360,3,3,3,3,4
H1365,4,3,4,3,Not enough data available
H1395,2,3,3,3,Not enough data available
H1416,2,2,4,4,3
H1423,4,3,2,3,4
H1463,4,3,4,4,3
H1468,4,4,4,3,4
H1526,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1537,5,3,4,4,5
H1607,4,3,3,3,5
H1608,3,4,4,4,4
H1609,4,4,4,4,4
H1610,2,3,3,3,3
H1619,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1644,Not enough data available,Not enough data available,Not enough data available,Not enough data available,2
H1659,3,3,4,4,Not enough data available
H1664,2,2,3,3,Not enough data available
H1666,4,2,3,4,4
H1692,2,3,5,4,4
H1722,3,2,3,4,Not enough data available
H1774,Not enough data available,3,Not enough data available,4,Not enough data available
H1799,2,2,4,3,Not enough data available
H1822,3,4,Not enough data available,3,Not enough data available
H1846,3,2,4,4,Not enough data available
H1862,3,Not enough data available,2,4,Not enough data available
H1889,3,3,4,3,4
H1894,2,3,Not enough data available,3,Not enough data available
H1914,3,3,3,3,5
H1947,3,3,4,2,Not enough data available
H1951,3,4,5,4,4
H1961,3,4,5,4,3
H1969,4,4,4,4,Not enough data available
H1993,4,3,4,4,Not enough data available
H1994,4,4,4,4,4
H1997,4,3,2,4,Not enough data available
H2001,4,3,4,5,4
H2032,4,3,5,4,3
H2041,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2056,3,3,2,4,5
H2096,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2108,4,3,2,3,4
H2117,2,3,3,3,4
H2128,2,2,3,3,Not enough data available
H2162,2,2,3,3,Not enough data available
H2168,4,4,2,3,3
H2172,5,4,3,5,4
H2174,2,3,Not enough data available,3,Not enough data available
H2224,4,3,2,5,5
H2225,4,4,4,4,3
H2226,5,4,3,4,5
H2230,5,4,3,5,5
H2235,5,4,5,4,4
H2237,3,3,3,4,4
H2246,3,4,4,4,Plan too new to be measured
H2247,2,3,3,3,5
H2256,5,3,4,4,4
H2261,4,3,3,5,5
H2292,3,4,Not enough data available,4,4
H2293,4,4,4,4,4
H2320,5,4,4,5,4
H2322,4,4,3,4,4
H2354,4,4,4,4,4
H2392,Not enough data available,5,Not enough data available,Not enough data available,Not enough data available
H2400,Not enough data available,4,Not enough data available,5,3
H2406,4,4,3,4,4
H2416,3,4,4,4,Not enough data available
H2419,3,3,3,4,Not enough data available
H2422,3,4,3,5,Not enough data available
H2425,3,4,3,4,Not enough data available
H2441,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2445,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2450,3,3,4,5,5
H2456,3,3,3,5,4
H2458,3,4,3,4,3
H2459,4,3,4,4,4
H2461,4,3,4,5,5
H2463,3,3,3,3,Not enough data available
H2486,4,3,3,3,4
H2491,2,3,2,3,3
H2526,Plan too new to be measured,Plan too new to be measured,5,Plan too new to be measured,Plan too new to be measured
H2563,3,2,3,4,3
H2582,3,3,3,4,4
H2593,3,2,Not enough data available,4,5
H2610,5,4,5,4,4
H2624,5,4,5,5,Not enough data available
H2663,4,4,4,4,4
H2686,Plan too new to be measured,Plan too new to be measured,3,4,Plan too new to be measured
H2697,4,4,4,4,4
H2722,3,3,Not enough data available,3,Not enough data available
H2737,4,4,3,5,Not enough data available
H2775,3,3,2,3,3
H2802,4,3,4,4,4
H2816,3,2,4,4,Not enough data available
H2819,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2836,4,3,3,3,4
H2875,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2915,2,3,3,3,5
H2942,Plan too new to be measured,4,4,5,3
H2960,4,4,4,5,4
H2962,4,4,4,4,4
H3015,1,2,3,4,3
H3038,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3047,1,2,3,3,Not enough data available
H3048,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3071,3,3,Not enough data available,3,3
H3080,Plan too new to be measured,4,3,3,Plan too new to be measured
H3113,3,3,3,3,5
H3124,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3138,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3146,4,4,4,4,4
H3152,3,3,4,4,4
H3170,3,Not enough data available,4,Not enough data available,Not enough data available
H3192,2,4,4,3,4
H3204,4,3,3,4,4
H3219,4,4,4,5,3
H3239,2,3,4,3,4
H3240,3,3,3,4,5
H3251,4,3,2,4,5
H3256,4,4,5,3,4
H3259,2,3,5,4,4
H3276,4,3,Not enough data available,5,Not enough data available
H3288,3,3,4,4,4
H3305,5,3,5,4,4
