Contract_ID,Plan_Name,Parent_Organization,Plan_Type,Overall_Stars,CAHPS_Domain_Stars,Getting_Needed_Care,Getting_Care_Quickly,Customer_Service,Rating_Health_Quality,Rating_Health_Plan,Care_Coordination
H1339,Johns Hopkins Advantage MD,Johns Hopkins Healthcare LLC,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H5718,Devoted Health,"Devoted Health, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H1206,Aetna Medicare,CVS Health Corporation,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H4439,Provider Partners Health Plans,"Rifkin Managed Care Holding, LLC",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H9968,American Health Advantage of Pennsylvania,Mitchell Family Office,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H4444,Provider Partners Health Plan of Indiana,"Rifkin Managed Care Holding, LLC",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H2445,UnitedHealthcare,"UnitedHealth Group, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H9946,Shared Health Dual Freedom,BlueCross BlueShield of Tennessee,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H4471,Anthem Blue Cross,"Elevance Health, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H2441,Anthem Blue Cross and Blue Shield,"Elevance Health, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H2819,Blue Shield of California,"California Physicians' Service",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H9700,Devoted Health,"Devoted Health, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H2875,Humana,Humana Inc.,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H9690,American Health Advantage of Indiana,Mitchell Family Office,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H3038,Molina Healthcare of California,"Molina Healthcare, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H0421,UnitedHealthcare,"UnitedHealth Group, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H6170,Champion Heath Plan,"Champion Health Plans-USA, LLC.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H9656,Blue Cross of Idaho,"Gemstone Holdings, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H5453,Devoted Health,"Devoted Health, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H1285,UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H7980,WellSense Health Plan,"BMC Health System, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H1526,Gold Kidney Health Plan,Gold Kidney Health Plan,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H3551,eternalHealth,"Eternal Health of Delaware, Inc.",Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H3048,SECUR Health Plan,Chapters CareNu Inc,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H9529,WyoBlue Advantage,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H1619,Jefferson Health Plans,Thomas Jefferson University,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H9179,Trinity Health Plan of Michigan,Trinity Health Corporation,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H6248,Community Health Group,Community Health Group,Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
H4499,Sentara Medicare,Sentara Health Care (SHC),Local CCP,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n,Plan too n
