Contract_ID,Plan_Name,Overall_Stars,Member Experience (HD3),Getting_Needed_Care,Getting_Care_Quickly,Customer_Service,Rating_Health_Quality,Rating_Health_Plan,Care_Coordination
H0028,Humana,3.5,4,3,4,4,3,4,3
H0034,"Hamaspik, Inc.",2.5,2,1,3,1,Not enough data available,1,Not enough data available
H0074,Wellcare,3,4,4,4,4,Not enough data available,2,Not enough data available
H0104,Blue Cross and Blue Shield of Alabama,4,5,5,5,5,4,5,3
H0107,Blue Cross and Blue Shield of Montana,3.5,3,3,3,3,3,3,3
H0154,VIVA Medicare,4,5,5,5,5,5,5,3
H0169,UnitedHealthcare,4,3,3,4,3,3,4,3
H0302,Blue Cross Blue Shield of Arizona (AZ Blue),3.5,3,2,2,4,3,3,2
H0332,KelseyCare Advantage,4.5,4,2,1,5,5,5,4
H0351,Wellcare by Allwell,3,2,3,2,3,1,1,Not enough data available
H0354,Cigna Healthcare,4,3,3,4,3,3,4,2
H0504,Blue Shield of California,3.5,2,2,1,3,3,4,1
H0523,Aetna Medicare,3,2,1,3,Not enough data available,1,1,Not enough data available
H0524,Kaiser Permanente,4.5,3,2,2,5,3,4,2
H0544,Anthem Blue Cross,3,1,1,1,1,Not enough data available,2,Not enough data available
H0562,Wellcare by Health Net,3,2,2,1,2,2,2,2
H0571,CCHP (Chinese Community Health Plan),2.5,1,1,1,1,1,2,1
H0885,Braven Health,3.5,4,3,4,3,4,4,3
H0907,Wellpoint,3.5,4,5,5,3,4,3,5
H0976,SCAN Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0982,Solis Health Plans,4,5,5,5,5,5,5,5
H1016,AvMed Medicare,4.5,4,3,4,5,4,4,5
H1019,"CarePlus Health Plans, Inc.",4,4,3,4,4,5,5,3
H1035,Florida Blue HMO,3.5,4,3,4,3,4,4,3
H1099,"Health First Health Plans, Inc.",4.5,4,4,4,5,5,4,4
H1189,CHRISTUS Health Advantage,3.5,5,5,5,4,5,4,5
H1224,L.A. Care Health Plan,3,2,2,1,1,3,3,1
H1225,Johns Hopkins Advantage MD,3,2,2,1,3,3,2,3
H1248,Blue Cross and Blue Shield of Louisiana,4.5,5,5,5,5,5,5,5
H1285,UnitedHealthcare Community Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1290,Devoted Health,4.5,4,3,4,5,3,5,4
H1304,Regence BlueShield of Idaho,3.5,3,4,4,4,3,2,3
H1350,Blue Cross of Idaho,3.5,3,3,2,3,3,3,4
H1365,Martin's Point Generations Advantage,3,4,3,4,5,3,4,3
H1463,Health Alliance Medicare,3.5,4,3,4,5,4,4,4
H1526,Gold Kidney Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1607,Anthem Blue Cross and Blue Shield,3.5,3,3,4,3,3,2,4
H1610,Aetna Better Health of Virginia,3,3,3,3,3,4,4,3
H1619,Jefferson Health Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1666,"Blue Cross and Blue Shield of NM, TX",3,3,3,3,2,3,2,3
H1722,Healthfirst Medicare Plan,3,3,3,2,3,3,2,Not enough data available
H1799,Passport Advantage,3.5,4,4,4,4,4,4,5
